((25, 26, 14),66.09260036504547)
((25, 26, 15),65.65212275354527)
((25, 26, 22),65.05697063523064)
((25, 26, 13),64.3861073621927)
((25, 26, 9),63.877463693862595)
((25, 26, 16),63.52414497182051)
((25, 26, 23),63.51672996182183)
((25, 26, 8),63.354120093429856)
((25, 26, 30),63.05166573822078)
((25, 26, 21),62.78875810300463)
((25, 27, 14),61.5145471742851)
((25, 26, 7),61.374182335889145)
((25, 27, 15),60.86644928282203)
((24, 26, 30),60.64425915865124)
((25, 27, 22),60.3393331334426)
((24, 26, 15),60.29627404029241)
((25, 26, 17),60.29068026081972)
((24, 26, 9),60.267264439771274)
((24, 26, 16),60.18231704452331)
((25, 26, 29),60.1285907440066)
((24, 26, 22),59.95154111930142)
((24, 26, 23),59.73377398355088)
((25, 26, 12),59.68095829829716)
((24, 26, 14),59.632955865147856)
((25, 26, 10),59.447450527286286)
((25, 27, 13),59.37473139414139)
((25, 27, 8),58.818215380556694)
((25, 27, 9),58.593943850070474)
((25, 26, 11),58.58821998270308)
((25, 27, 21),58.36759091326884)
((24, 26, 8),58.19808638645705)
((24, 26, 17),58.1669953796205)
((25, 26, 24),58.14462026172976)
((25, 27, 16),57.9878643485999)
((25, 27, 23),57.96288747281489)
((26, 27, 14),57.8422959944154)
((24, 26, 13),57.61230059656179)
((25, 27, 30),57.53437794762836)
((24, 26, 21),57.363442453974706)
((25, 27, 7),56.96615402351943)
((24, 26, 10),56.94911250931195)
((26, 27, 15),56.84100946880496)
((23, 25, 17),56.69908357567245)
((26, 27, 22),56.496666811498116)
((25, 26, 6),56.45529886097919)
((24, 25, 30),56.325210966265615)
((25, 26, 20),56.305957957848)
((24, 26, 29),56.027179599476796)
((24, 26, 7),55.92362963528478)
((25, 27, 29),55.902425308446475)
